Royal Challengers Bangalore

Sr.No.	Name				Specialization			Jersey No.	Overall-Performance
24.	Nathu Singh			Fast-Bowler			7		Good
25.	Jagadeesha Suchith		Spin Bowler			4		-
26.	Akshay Wakhare			Spin Bowler			3		-


Kolkata Knight Riders

Sr.No.	Name				Specialization			Jersey No.	Overall-Performance

1.	Gautam Gambhir			Batsman				33		Excellent 
2.	John Hastings 			Batting Allrounder		20 		-
3.	Jason Holder			Batting Allrounder 		19		Good
4.	Kuldeep Yadav			Spin Bowler			17		Excellent
5.	Manan Sharma			Batting Allrounder		6		-
6.	Colin Munro			Batting Allrounder 		5		Good
7.	Manish Pandey 			Batsman				49		Excellent
8.	Ankit Rajpoot 			Fast Bowler			10		V.Good
9.	Rajagopal Sathish 		Batsman				11		-
10.	Jaydev Unadkat 			Fast Bowler			18		Excellent
11.	Suryakumar Yadav 		Batsman 			222		V.Good
12.	Piyush Chawla 			Bowling Allrounder 		9		V.Good
13.	Brad Hogg 			SpinBowler			8		Good
14.	Sheldon Jackson 		Batsman 			3		V.Good
15.	Chris Lynn 			Batsman 			4		Good
16.	Morne Morkel 			Fast Bowler			2		Good
17.	Sunil Narine 			Spin Bowler 			1		Excellent
18.	Yusuf Pathan 			Batting Allrounder		42		V.Good
19.	Andre Russell 			Batting Allrounder 		31		Excellent
20.	Shakib Al Hasan 		Bowling Allrounder		29		Excellent
21.	Robin Uthappa 			WK-Batsman			41		Excellent
22.	Umesh Yadav 			Fast Bowler			12		V.Good


Kings XI Punjab

Sr.No.	Name				Specialization			Jersey No.	Overall-Performance

1.	David Miller			Batsman				21		Excellent
2.	Anureet Singh			Fast Bowler			11		Good
3.	Farhaan Behardien		Batsman				01		-
4.	Rishi Dhawan			Bowling Allrounder		3		Good		
5.	Mitchell Johnson		Fast Bowler			2		V.Good
6.	Glenn Maxwell			Batting Allrounder		19		Excellent
7.	Axar Patel			Bowling Allrounder		12		Excellent
8.	Mohit Sharma			Fast Bowler			91		V.Good
9.	Pardeep Sahu			Bowling Allrounder		14		-
10.	Swapnil Singh			Batting Allrounder		15		-
11.	Murali Vijay			Batsman				35		V.Good
12.	Kyle Abbott			Fast Bowler			51		Good
13.	Armaan Jaffer			Batsman				41		-
14.	KC Cariappa			Spin Bowler			53		V.Good
15.	Gurkeerat Singh Mann		Batsman				5		Good
16.	Shaun Marsh			Batsman				7		Good
17.	Nikhil Naik			Batsman				8		-
18.	Wriddhiman Saha			WK-Batsman			22		V.Good
19.	Sandeep Sharma			Fast Bowler			18		V.Good
20.	Marcus Stoinis			Batting Allrounder		81		Good
21.	Shardul Thakur			Fast Bowler			99		Good
22.	Manan Vohra			Batsman				6		V.Good


Sunrisers Hyderabad

Sr.No.	Name				Specialization			Jersey No.	Overall-Performance	

1.	Shikhar Dhawan(c)		Batsman				25		Excellent
2.	Ricky Bhui			Bowling-Allrounder		1		Good
3.	Trent Boult			Fast-Bowler			18		Excellent
4.	Moises Henriques		Bowling-Allrounder		2		V.Good
5.	Abhimanyu Mithun		Batsman				3		Good
6.	Siddarth Kaul			Fast-Bowler			4		V.Good
7.	Mustafizur Rahman		Fast-Bowler			5		Excellent
8.	Naman Ojha			WK-Batsman			6		Good
9.	Karn Sharma			Spin-Bowler			7		V.Good
10.	Tirumalsetti Suman		Batsman				8		-
11.	David Warner			Batsman				31		Excellent
12.	Yuvraj Singh			Bowling-Allrounder		12		Excellent
13.	Ashish Nehra			Fast-Bowler			64		V.Good
14.	Ashish Reddy			Spin-Bowler			9		-
15.	Bipul Sharma			Spin-Bowler			10		V.Good
16.	Ben Cutting			Fast-Bowler			11		Good
17.	Bhuvneshwar Kumar		Bowling-Allrounder		15		Excellent
18.	Eoin Morgan			Batsman				16		Excellent
19.	Vijay Shankar			Bowling-Allrounder		59		Excellent
20.	Barinder Sran			Fast-Bowler			13		Good
21.	Aditya Tare			WK-Batsman			14		V.Good
22.	Kane Williamson			Batsman				22		Excellent
